axe,modalite,poste,pm
quintile_revenu,QU2,CP01149,0.0
quintile_revenu,QU2,CP01151,1.1275768363867311
quintile_revenu,QU2,CP01152,1.6136013348292877
quintile_revenu,QU2,CP01153,0.5735089081622168
quintile_revenu,QU2,CP01159,0.0
quintile_revenu,QU2,CP01161,1.7982906442374595
quintile_revenu,QU2,CP01162,1.992700443614482
quintile_revenu,QU2,CP01163,3.7423886380076863
quintile_revenu,QU2,CP01164,0.3985400887228964
quintile_revenu,QU2,CP01165,1.9829799536456307
quintile_revenu,QU2,CP01166,0.03888195987540453
quintile_revenu,QU2,CP01167,0.06804342978195792
quintile_revenu,QU2,CP01168,1.3511481056703074
quintile_revenu,QU2,CP01169,0.22357126928357604
quintile_revenu,QU2,CP01171,2.5564888618078476
quintile_revenu,QU2,CP01172,3.849314027665048
quintile_revenu,QU2,CP01173,0.1846893094081715
quintile_revenu,QU2,CP01174,2.566209351776699
quintile_revenu,QU2,CP01175,2.1968307329603562
quintile_revenu,QU2,CP01176,1.0109309567605178
quintile_revenu,QU2,CP01177,0.0
quintile_revenu,QU2,CP01178,0.29161469906553394
quintile_revenu,QU2,CP01179,2.0704643633652915
quintile_revenu,QU2,CP01181,0.41798106866059864
quintile_revenu,QU2,CP01182,0.06804342978195792
quintile_revenu,QU2,CP01183,1.9635389737079285
quintile_revenu,QU2,CP01184,0.0
quintile_revenu,QU2,CP01185,5.005975051414722
quintile_revenu,QU2,CP01186,1.681644764611246
quintile_revenu,QU2,CP01189,2.294035632648867
quintile_revenu,QU2,CP01191,10.187073487355987
quintile_revenu,QU2,CP01192,1.0886948765113267
quintile_revenu,QU2,CP01193,1.7982906442374595
quintile_revenu,QU2,CP01194,0.5054654783802589
quintile_revenu,QU2,CP01199,0.8262416473523461
quintile_revenu,QU2,CP01210,1.693110813434153
quintile_revenu,QU2,CP01220,2.2736059494687195
quintile_revenu,QU2,CP01230,0.6772443253736611
quintile_revenu,QU2,CP01240,0.0
quintile_revenu,QU2,CP01250,2.0455542888837113
quintile_revenu,QU2,CP01260,2.031732976120983
quintile_revenu,QU2,CP01290,0.7068237198841383
quintile_revenu,QU2,CP01300,0.0
quintile_revenu,QU2,CP02110,4.132409406282371
quintile_revenu,QU2,CP02121,5.260476597969481
quintile_revenu,QU2,CP02122,0.09208711768874364
quintile_revenu,QU2,CP02130,2.6187274092736477
quintile_revenu,QU2,CP02190,0.0
quintile_revenu,QU2,CP02200,0.0
quintile_revenu,QU2,CP02301,6.352042398633032
quintile_revenu,QU2,CP02302,0.2327115636238108
quintile_revenu,QU2,CP02309,0.9669001587186505
quintile_revenu,QU2,CP02400,0.0
quintile_revenu,QU2,CP03110,0.0
quintile_revenu,QU2,CP03121,9.284497150256295
quintile_revenu,QU2,CP03122,12.530934498403344
quintile_revenu,QU2,CP03123,0.854738335623257
quintile_revenu,QU2,CP03124,0.0
quintile_revenu,QU2,CP03131,2.4779570096967816
quintile_revenu,QU2,CP03132,0.2666156276256031
quintile_revenu,QU2,CP03141,0.8782632439431631
quintile_revenu,QU2,CP03142,0.15683272213270769
quintile_revenu,QU2,CP03211,2.7715921568700437
quintile_revenu,QU2,CP03212,4.4771873303285314
quintile_revenu,QU2,CP03213,1.1036707934870718
quintile_revenu,QU2,CP03220,0.22246893566849846
quintile_revenu,QU2,CP04110,112.96787162466629
quintile_revenu,QU2,CP04121,0.0
quintile_revenu,QU2,CP04122,0.0
quintile_revenu,QU2,CP04210,63.040106933407515
quintile_revenu,QU2,CP04220,63.040106933407515
quintile_revenu,QU2,CP04311,1.8649663958793912
quintile_revenu,QU2,CP04312,0.0
quintile_revenu,QU2,CP04320,16.7020446448319
quintile_revenu,QU2,CP04411,6.9467309949372575
quintile_revenu,QU2,CP04412,0.0
quintile_revenu,QU2,CP04420,6.751962836200699
quintile_revenu,QU2,CP04431,8.845720542618704
quintile_revenu,QU2,CP04432,0.0
quintile_revenu,QU2,CP04441,4.333591531888428
quintile_revenu,QU2,CP04449,0.11361475926299253
quintile_revenu,QU2,CP04510,28.310285343208555
quintile_revenu,QU2,CP04521,11.13650984949621
quintile_revenu,QU2,CP04522,1.836127071959949
quintile_revenu,QU2,CP04530,7.524129414444572
quintile_revenu,QU2,CP04541,0.0
quintile_revenu,QU2,CP04542,1.3272005465797454
quintile_revenu,QU2,CP04543,0.3293053987754256
quintile_revenu,QU2,CP04549,0.0
quintile_revenu,QU2,CP04550,1.9858113441305967
quintile_revenu,QU2,CP05111,6.097197611613973
quintile_revenu,QU2,CP05112,0.14367475962566062
quintile_revenu,QU2,CP05113,0.1391849233873587
quintile_revenu,QU2,CP05114,0.24023385730510685
quintile_revenu,QU2,CP05120,1.0049363866156409
quintile_revenu,QU2,CP05211,0.38543628656058593
quintile_revenu,QU2,CP05212,0.670759251936604
quintile_revenu,QU2,CP05213,0.5656402646928078
quintile_revenu,QU2,CP05219,0.3954476186790427
quintile_revenu,QU2,CP05220,0.0
quintile_revenu,QU2,CP05311,3.394545195835856
quintile_revenu,QU2,CP05312,0.9478801620830432
quintile_revenu,QU2,CP05313,0.6319201080553621
quintile_revenu,QU2,CP05314,0.38077237280259
quintile_revenu,QU2,CP05319,0.0
quintile_revenu,QU2,CP05321,0.7999454769458743
quintile_revenu,QU2,CP05322,0.11502483982228257
quintile_revenu,QU2,CP05329,0.2349446555590449
quintile_revenu,QU2,CP05330,0.76154474560518
quintile_revenu,QU2,CP05401,0.4757632822154656
quintile_revenu,QU2,CP05402,0.4710527546687777
quintile_revenu,QU2,CP05403,0.8643818048172073
quintile_revenu,QU2,CP05404,0.0
quintile_revenu,QU2,CP05510,1.3159064065271073
quintile_revenu,QU2,CP05521,0.8014166836744038
quintile_revenu,QU2,CP05522,1.3060123733953244
quintile_revenu,QU2,CP05530,1.7017736986666352
quintile_revenu,QU2,CP05611,7.413956465288835
quintile_revenu,QU2,CP05619,3.5992086302134183
quintile_revenu,QU2,CP05621,2.1528730207735274
quintile_revenu,QU2,CP05629,0.3767527786353674
quintile_revenu,QU2,CP06111,9.780615755261909
quintile_revenu,QU2,CP06112,0.0
quintile_revenu,QU2,CP06121,0.0813544748589253
quintile_revenu,QU2,CP06122,0.03498179344281573
quintile_revenu,QU2,CP06123,0.39179608655953635
quintile_revenu,QU2,CP06131,2.4562801850597955
quintile_revenu,QU2,CP06132,0.5597086950850517
quintile_revenu,QU2,CP06140,0.0
quintile_revenu,QU2,CP06211,0.0
quintile_revenu,QU2,CP06219,0.535833705008959
quintile_revenu,QU2,CP06221,0.44272441510484667
quintile_revenu,QU2,CP06229,3.26468699957541
quintile_revenu,QU2,CP06231,4.804522348268249
quintile_revenu,QU2,CP06232,0.0
quintile_revenu,QU2,CP06320,0.09059656086238206
quintile_revenu,QU2,CP06410,0.57018201943261
quintile_revenu,QU2,CP06420,0.11771735240774493
quintile_revenu,QU2,CP07111,25.181855525096175
quintile_revenu,QU2,CP07112,13.523768091980635
quintile_revenu,QU2,CP07120,1.5563450055817603
quintile_revenu,QU2,CP07130,1.0923415256567632
quintile_revenu,QU2,CP07140,0.0
quintile_revenu,QU2,CP07211,0.2871995191114551
quintile_revenu,QU2,CP07212,1.3509014417464742
quintile_revenu,QU2,CP07213,1.8243528384553769
quintile_revenu,QU2,CP07221,12.509134610187822
quintile_revenu,QU2,CP07222,8.61066706373048
quintile_revenu,QU2,CP07223,0.053185096131750945
quintile_revenu,QU2,CP07224,0.7179987977786377
quintile_revenu,QU2,CP07230,19.338100953504643
quintile_revenu,QU2,CP07241,1.9465745184220844
quintile_revenu,QU2,CP07242,3.281520431329033
quintile_revenu,QU2,CP07243,2.871995191114551
quintile_revenu,QU2,CP07244,0.8243689900421397
quintile_revenu,QU2,CP07311,3.9620073946689103
quintile_revenu,QU2,CP07312,0.4347030056846767
quintile_revenu,QU2,CP07321,4.0116877381757305
quintile_revenu,QU2,CP07322,1.1674880724102745
quintile_revenu,QU2,CP07323,0.0
quintile_revenu,QU2,CP07329,0.0
quintile_revenu,QU2,CP07331,1.96858361145775
quintile_revenu,QU2,CP07332,5.589038644517272
quintile_revenu,QU2,CP07340,0.24840171753410098
quintile_revenu,QU2,CP07350,1.2916889311773252
quintile_revenu,QU2,CP07360,0.0
quintile_revenu,QU2,CP07411,0.7452384615821934
quintile_revenu,QU2,CP07412,0.26340324935232695
quintile_revenu,QU2,CP07491,0.4347030056846767
quintile_revenu,QU2,CP07492,0.0
quintile_revenu,QU2,CP08110,0.09985118802651637
quintile_revenu,QU2,CP08120,1.4977678203977456
quintile_revenu,QU2,CP08131,1.85633164264657
quintile_revenu,QU2,CP08132,1.1989592052652278
quintile_revenu,QU2,CP08140,1.5036951657280457
quintile_revenu,QU2,CP08150,0.2927548110266992
quintile_revenu,QU2,CP08191,0.0
quintile_revenu,QU2,CP08192,0.06653518432424982
quintile_revenu,QU2,CP08200,0.0
quintile_revenu,QU2,CP08310,1.7757231716743822
quintile_revenu,QU2,CP08320,12.894303553792408
quintile_revenu,QU2,CP08330,3.086954313115754
quintile_revenu,QU2,CP08340,7.5903461063728495
quintile_revenu,QU2,CP08350,2.1847544627525504
quintile_revenu,QU2,CP08391,0.0
quintile_revenu,QU2,CP08392,4.126282670920822
quintile_revenu,QU2,CP08399,0.0
quintile_revenu,QU2,CP09111,0.3060618478915492
quintile_revenu,QU2,CP09112,0.05988166589182483
quintile_revenu,QU2,CP09113,0.0
quintile_revenu,QU2,CP09121,0.2847191731176822
quintile_revenu,QU2,CP09122,0.0
quintile_revenu,QU2,CP09123,0.25837951393058384
quintile_revenu,QU2,CP09124,0.0
quintile_revenu,QU2,CP09129,0.0815275165314949
quintile_revenu,QU2,CP09211,1.601132111042522
quintile_revenu,QU2,CP09212,3.355136132184582
quintile_revenu,QU2,CP09213,0.0
quintile_revenu,QU2,CP09221,2.452851549106955
quintile_revenu,QU2,CP09222,1.2632047308224925
quintile_revenu,QU2,CP09311,1.4884896509691794
quintile_revenu,QU2,CP09312,3.242493672111239
quintile_revenu,QU2,CP09321,0.26551437017288065
quintile_revenu,QU2,CP09322,3.2344477821059994
quintile_revenu,QU2,CP09410,0.0
quintile_revenu,QU2,CP09421,0.0
quintile_revenu,QU2,CP09422,0.6569266530293174
quintile_revenu,QU2,CP09431,0.0
quintile_revenu,QU2,CP09432,0.0
quintile_revenu,QU2,CP09440,0.1592538026166205
quintile_revenu,QU2,CP09450,1.8367814993418987
quintile_revenu,QU2,CP09461,1.9776225236278555
quintile_revenu,QU2,CP09462,4.767673759664991
quintile_revenu,QU2,CP09463,1.378990840799964
quintile_revenu,QU2,CP09470,0.0
quintile_revenu,QU2,CP09510,0.030102467642398115
quintile_revenu,QU2,CP09520,0.6054701773506733
quintile_revenu,QU2,CP09610,6.093215343069608
quintile_revenu,QU2,CP09620,2.51211509758133
quintile_revenu,QU2,CP09630,1.3469212863627553
quintile_revenu,QU2,CP09690,0.6219103991546285
quintile_revenu,QU2,CP09711,0.7131064554191878
quintile_revenu,QU2,CP09719,2.1549920356074357
quintile_revenu,QU2,CP09721,2.0653855600954265
quintile_revenu,QU2,CP09722,3.1837602738588884
quintile_revenu,QU2,CP09730,0.6583980169736512
quintile_revenu,QU2,CP09740,2.5794771623899204
quintile_revenu,QU2,CP09800,0.0
quintile_revenu,QU2,CP10101,0.0
quintile_revenu,QU2,CP10200,0.0
quintile_revenu,QU2,CP10300,0.0
quintile_revenu,QU2,CP10400,3.025925132803561
quintile_revenu,QU2,CP10501,0.14128229198826273
quintile_revenu,QU2,CP10509,0.0
quintile_revenu,QU2,CP11111,33.85957139349797
quintile_revenu,QU2,CP11112,0.8719966704352141
quintile_revenu,QU2,CP11121,5.117418482328613
quintile_revenu,QU2,CP11129,5.048728301357759
quintile_revenu,QU2,CP11201,2.977943711260385
quintile_revenu,QU2,CP11202,2.6745773040841714
quintile_revenu,QU2,CP11203,0.3993292502625672
quintile_revenu,QU2,CP11209,0.0
quintile_revenu,QU2,CP12110,0.0
quintile_revenu,QU2,CP12120,43.796680529781206
